user_date,conversation_duration(sec),conversation_user
u01_2013-04-07,30972.0,u01
u01_2013-04-08,37309.0,u01
u01_2013-04-09,30546.0,u01
u01_2013-04-10,41501.0,u01
u01_2013-04-11,25895.0,u01
u01_2013-04-12,49322.0,u01
u01_2013-04-13,28885.0,u01
u01_2013-04-14,27107.0,u01
u01_2013-04-15,32457.0,u01
u01_2013-04-16,24891.0,u01
u01_2013-04-17,43446.0,u01
u01_2013-04-18,31752.0,u01
u01_2013-04-19,36415.0,u01
u01_2013-04-20,18917.0,u01
u01_2013-04-21,27194.0,u01
u01_2013-04-22,38450.0,u01
u01_2013-04-23,12627.0,u01
u01_2013-04-24,28521.0,u01
u01_2013-04-25,41301.0,u01
u01_2013-04-26,35396.0,u01
u01_2013-04-27,36896.0,u01
u01_2013-04-28,23727.0,u01
u01_2013-04-29,0.0,u01
u01_2013-04-30,0.0,u01
u01_2013-05-01,0.0,u01
u01_2013-05-02,13111.0,u01
u01_2013-05-03,42190.0,u01
u01_2013-05-04,4090.0,u01
u01_2013-05-05,0.0,u01
u01_2013-05-06,0.0,u01
u01_2013-05-07,14479.0,u01
u01_2013-05-08,40541.0,u01
u01_2013-05-09,40068.0,u01
u01_2013-05-10,37161.0,u01
u01_2013-05-11,34990.0,u01
u01_2013-05-12,38438.0,u01
u01_2013-05-13,33559.0,u01
u01_2013-05-14,34951.0,u01
u01_2013-05-15,35363.0,u01
u01_2013-05-16,37386.0,u01
u01_2013-05-17,38285.0,u01
u01_2013-05-18,35565.0,u01
u01_2013-05-19,0.0,u01
u01_2013-05-20,0.0,u01
u01_2013-05-21,0.0,u01
u01_2013-05-22,0.0,u01
u01_2013-05-23,0.0,u01
u01_2013-05-24,71.0,u01
u01_2013-05-25,39150.0,u01
u01_2013-05-26,45611.0,u01
u01_2013-05-27,33903.0,u01
u01_2013-05-28,25804.0,u01
u01_2013-05-29,5950.0,u01
u02_2013-03-27,13743.0,u02
u02_2013-03-28,14291.0,u02
u02_2013-03-29,26182.0,u02
u02_2013-03-30,30437.0,u02
u02_2013-03-31,24453.0,u02
u02_2013-04-01,24795.0,u02
u02_2013-04-02,4950.0,u02
u02_2013-04-03,18154.0,u02
u02_2013-04-04,14720.0,u02
u02_2013-04-05,24252.0,u02
u02_2013-04-06,14766.0,u02
u02_2013-04-07,25450.0,u02
u02_2013-04-08,21300.0,u02
u02_2013-04-09,22799.0,u02
u02_2013-04-10,30938.0,u02
u02_2013-04-11,10432.0,u02
u02_2013-04-12,28336.0,u02
u02_2013-04-13,22634.0,u02
u02_2013-04-14,23615.0,u02
u02_2013-04-15,30585.0,u02
u02_2013-04-16,33179.0,u02
u02_2013-04-17,25119.0,u02
u02_2013-04-18,28166.0,u02
u02_2013-04-19,29535.0,u02
u02_2013-04-20,21982.0,u02
u02_2013-04-21,24256.0,u02
u02_2013-04-22,33890.0,u02
u02_2013-04-23,35532.0,u02
u02_2013-04-24,15411.0,u02
u02_2013-04-25,8140.0,u02
u02_2013-04-26,0.0,u02
u02_2013-04-27,7582.0,u02
u02_2013-04-28,16844.0,u02
u02_2013-04-29,23160.0,u02
u02_2013-04-30,23052.0,u02
u02_2013-05-01,10934.0,u02
u02_2013-05-02,4338.0,u02
u02_2013-05-03,39945.0,u02
u02_2013-05-04,21751.0,u02
u02_2013-05-05,13019.0,u02
u02_2013-05-06,0.0,u02
u02_2013-05-07,7803.0,u02
u02_2013-05-08,23363.0,u02
u02_2013-05-09,5107.0,u02
u02_2013-05-10,25125.0,u02
u02_2013-05-11,9904.0,u02
u02_2013-05-12,12290.0,u02
u02_2013-05-13,9360.0,u02
u02_2013-05-14,22378.0,u02
u02_2013-05-15,2520.0,u02
u02_2013-05-16,18215.0,u02
u02_2013-05-17,36588.0,u02
u02_2013-05-18,232.0,u02
u02_2013-05-19,9616.0,u02
u02_2013-05-20,1562.0,u02
u02_2013-05-21,8683.0,u02
u02_2013-05-22,292.0,u02
u02_2013-05-23,27036.0,u02
u02_2013-05-24,28218.0,u02
u02_2013-05-25,12728.0,u02
u02_2013-05-26,14129.0,u02
u02_2013-05-27,17552.0,u02
u02_2013-05-28,52623.0,u02
u02_2013-05-29,31884.0,u02
u02_2013-05-30,29843.0,u02
u02_2013-05-31,10431.0,u02
u03_2013-03-27,14933.0,u03
u03_2013-03-28,3084.0,u03
u03_2013-03-29,9974.0,u03
u03_2013-03-30,60.0,u03
u03_2013-03-31,1331.0,u03
u03_2013-04-01,12800.0,u03
u03_2013-04-02,0.0,u03
u03_2013-04-03,9650.0,u03
u03_2013-04-04,142.0,u03
u03_2013-04-05,16451.0,u03
u03_2013-04-06,6272.0,u03
u03_2013-04-07,333.0,u03
u03_2013-04-08,11456.0,u03
u03_2013-04-09,331.0,u03
u03_2013-04-10,12114.0,u03
u03_2013-04-11,0.0,u03
u03_2013-04-12,4669.0,u03
u03_2013-04-13,3340.0,u03
u03_2013-04-14,0.0,u03
u03_2013-04-15,6993.0,u03
u03_2013-04-16,352.0,u03
u03_2013-04-17,5126.0,u03
u03_2013-04-18,4115.0,u03
u03_2013-04-19,0.0,u03
u03_2013-04-20,10937.0,u03
u03_2013-04-21,6934.0,u03
u03_2013-04-22,4225.0,u03
u03_2013-04-23,2490.0,u03
u03_2013-04-24,1291.0,u03
u03_2013-04-25,12344.0,u03
u03_2013-04-26,18550.0,u03
u03_2013-04-27,3518.0,u03
u03_2013-04-28,1573.0,u03
u03_2013-04-29,5879.0,u03
u03_2013-04-30,1825.0,u03
u03_2013-05-01,333.0,u03
u03_2013-05-02,643.0,u03
u03_2013-05-03,8903.0,u03
u03_2013-05-04,5415.0,u03
u03_2013-05-05,2220.0,u03
u03_2013-05-06,4155.0,u03
u03_2013-05-07,8551.0,u03
u03_2013-05-08,80.0,u03
u03_2013-05-09,0.0,u03
u03_2013-05-10,6699.0,u03
u03_2013-05-11,0.0,u03
u03_2013-05-12,1179.0,u03
u03_2013-05-13,6597.0,u03
u03_2013-05-14,0.0,u03
u03_2013-05-15,5345.0,u03
u03_2013-05-16,0.0,u03
u03_2013-05-17,0.0,u03
u03_2013-05-18,0.0,u03
u03_2013-05-19,0.0,u03
u03_2013-05-20,0.0,u03
u03_2013-05-21,5284.0,u03
u04_2013-03-27,32382.0,u04
u04_2013-03-28,21928.0,u04
u04_2013-03-29,27790.0,u04
u04_2013-03-30,22808.0,u04
u04_2013-03-31,21650.0,u04
u04_2013-04-01,23776.0,u04
u04_2013-04-02,21176.0,u04
u04_2013-04-03,26486.0,u04
u04_2013-04-04,25503.0,u04
u04_2013-04-05,35129.0,u04
u04_2013-04-06,25095.0,u04
u04_2013-04-07,30857.0,u04
u04_2013-04-08,26424.0,u04
u04_2013-04-09,22283.0,u04
u04_2013-04-10,25814.0,u04
u04_2013-04-11,30271.0,u04
u04_2013-04-12,35676.0,u04
u04_2013-04-13,35093.0,u04
u04_2013-04-14,18358.0,u04
u04_2013-04-15,30580.0,u04
u04_2013-04-16,33343.0,u04
u04_2013-04-17,28963.0,u04
u04_2013-04-18,20536.0,u04
u04_2013-04-19,25148.0,u04
u04_2013-04-20,28561.0,u04
u04_2013-04-21,25552.0,u04
u04_2013-04-22,27747.0,u04
u04_2013-04-23,21021.0,u04
u04_2013-04-24,19229.0,u04
u04_2013-04-25,31239.0,u04
u04_2013-04-26,28547.0,u04
u04_2013-04-27,25472.0,u04
u04_2013-04-28,21380.0,u04
u04_2013-04-29,27688.0,u04
u04_2013-04-30,23443.0,u04
u04_2013-05-01,18879.0,u04
u04_2013-05-02,16843.0,u04
u04_2013-05-03,15263.0,u04
u04_2013-05-04,42381.0,u04
u04_2013-05-05,18690.0,u04
u04_2013-05-06,26100.0,u04
u04_2013-05-07,31715.0,u04
u04_2013-05-08,34969.0,u04
u04_2013-05-09,30291.0,u04
u04_2013-05-10,33333.0,u04
u04_2013-05-11,33676.0,u04
u04_2013-05-12,23601.0,u04
u04_2013-05-13,29943.0,u04
u04_2013-05-14,20159.0,u04
u04_2013-05-15,36079.0,u04
u04_2013-05-16,29408.0,u04
u04_2013-05-17,34280.0,u04
u04_2013-05-18,18893.0,u04
u04_2013-05-19,25515.0,u04
u04_2013-05-20,19866.0,u04
u04_2013-05-21,22408.0,u04
u04_2013-05-22,15939.0,u04
u04_2013-05-23,807.0,u04
u05_2013-03-27,27290.0,u05
u05_2013-03-28,17085.0,u05
u05_2013-03-29,37142.0,u05
u05_2013-03-30,18506.0,u05
u05_2013-03-31,22016.0,u05
u05_2013-04-01,25598.0,u05
u05_2013-04-02,22916.0,u05
u05_2013-04-03,29069.0,u05
u05_2013-04-04,22072.0,u05
u05_2013-04-05,27849.0,u05
u05_2013-04-06,23081.0,u05
u05_2013-04-07,21753.0,u05
u05_2013-04-08,26062.0,u05
u05_2013-04-09,4657.0,u05
u05_2013-04-10,19957.0,u05
u05_2013-04-11,13374.0,u05
u05_2013-04-12,2491.0,u05
u05_2013-04-13,20739.0,u05
u05_2013-04-14,24149.0,u05
u05_2013-04-15,18042.0,u05
u05_2013-04-16,2017.0,u05
u05_2013-04-17,30411.0,u05
u05_2013-04-18,8807.0,u05
u05_2013-04-19,10499.0,u05
u05_2013-04-20,17713.0,u05
u05_2013-04-21,22610.0,u05
u05_2013-04-22,24939.0,u05
u05_2013-04-23,14984.0,u05
u05_2013-04-24,14364.0,u05
u05_2013-04-25,14754.0,u05
u05_2013-04-26,25287.0,u05
u05_2013-04-27,15968.0,u05
u05_2013-04-28,3940.0,u05
u05_2013-04-29,27071.0,u05
u05_2013-04-30,13895.0,u05
u05_2013-05-01,28035.0,u05
u05_2013-05-02,9614.0,u05
u05_2013-05-03,29632.0,u05
u05_2013-05-04,4418.0,u05
u05_2013-05-05,18855.0,u05
u05_2013-05-06,14794.0,u05
u05_2013-05-07,2794.0,u05
u05_2013-05-08,22302.0,u05
u05_2013-05-09,5877.0,u05
u05_2013-05-10,16173.0,u05
u05_2013-05-11,5395.0,u05
u05_2013-05-12,24213.0,u05
u05_2013-05-13,18769.0,u05
u05_2013-05-14,6223.0,u05
u05_2013-05-15,16765.0,u05
u05_2013-05-16,4904.0,u05
u05_2013-05-17,373.0,u05
u05_2013-05-18,16713.0,u05
u05_2013-05-19,12465.0,u05
u05_2013-05-20,16645.0,u05
u05_2013-05-21,21800.0,u05
u05_2013-05-22,27587.0,u05
u05_2013-05-23,7261.0,u05
u05_2013-05-24,5202.0,u05
u05_2013-05-25,0.0,u05
u05_2013-05-26,5740.0,u05
u05_2013-05-27,33905.0,u05
u05_2013-05-28,37942.0,u05
u05_2013-05-29,1113.0,u05
u07_2013-03-27,35210.0,u07
u07_2013-03-28,25550.0,u07
u07_2013-03-29,21147.0,u07
u07_2013-03-30,6782.0,u07
u07_2013-03-31,19020.0,u07
u07_2013-04-01,26081.0,u07
u07_2013-04-02,33000.0,u07
u07_2013-04-03,28180.0,u07
u07_2013-04-04,41571.0,u07
u07_2013-04-05,32833.0,u07
u07_2013-04-06,48120.0,u07
u07_2013-04-07,52356.0,u07
u07_2013-04-08,27666.0,u07
u07_2013-04-09,18788.0,u07
u07_2013-04-10,19029.0,u07
u07_2013-04-11,25584.0,u07
u07_2013-04-12,27435.0,u07
u07_2013-04-13,9349.0,u07
u07_2013-04-14,7620.0,u07
u07_2013-04-15,16883.0,u07
u07_2013-04-16,22362.0,u07
u07_2013-04-17,19564.0,u07
u07_2013-04-18,21719.0,u07
u07_2013-04-19,37626.0,u07
u07_2013-04-20,0.0,u07
u07_2013-04-21,28957.0,u07
u07_2013-04-22,2534.0,u07
u07_2013-04-23,0.0,u07
u07_2013-04-24,0.0,u07
u07_2013-04-25,0.0,u07
u07_2013-04-26,0.0,u07
u07_2013-04-27,1902.0,u07
u07_2013-04-28,4546.0,u07
u07_2013-04-29,4117.0,u07
u07_2013-04-30,9882.0,u07
u07_2013-05-01,22821.0,u07
u07_2013-05-02,12029.0,u07
u07_2013-05-03,12147.0,u07
u07_2013-05-04,3951.0,u07
u07_2013-05-05,8536.0,u07
u07_2013-05-06,7935.0,u07
u07_2013-05-07,0.0,u07
u07_2013-05-08,1634.0,u07
u07_2013-05-09,2933.0,u07
u07_2013-05-10,3852.0,u07
u07_2013-05-11,11099.0,u07
u07_2013-05-12,14589.0,u07
u07_2013-05-13,19718.0,u07
u07_2013-05-14,12008.0,u07
u08_2013-03-27,18801.0,u08
u08_2013-03-28,17892.0,u08
u08_2013-03-29,24554.0,u08
u08_2013-03-30,16276.0,u08
u08_2013-03-31,8014.0,u08
u08_2013-04-01,26746.0,u08
u08_2013-04-02,20417.0,u08
u08_2013-04-03,23354.0,u08
u08_2013-04-04,25703.0,u08
u08_2013-04-05,37376.0,u08
u08_2013-04-06,26636.0,u08
u08_2013-04-07,28233.0,u08
u08_2013-04-08,26167.0,u08
u08_2013-04-09,14038.0,u08
u08_2013-04-10,28353.0,u08
u08_2013-04-11,21963.0,u08
u08_2013-04-12,23449.0,u08
u08_2013-04-13,12109.0,u08
u08_2013-04-14,24617.0,u08
u08_2013-04-15,23236.0,u08
u08_2013-04-16,18783.0,u08
u08_2013-04-17,29981.0,u08
u08_2013-04-18,23130.0,u08
u08_2013-04-19,21875.0,u08
u08_2013-04-20,17003.0,u08
u08_2013-04-21,14792.0,u08
u08_2013-04-22,31287.0,u08
u08_2013-04-23,19825.0,u08
u08_2013-04-24,21650.0,u08
u08_2013-04-25,27004.0,u08
u08_2013-04-26,22022.0,u08
u08_2013-04-27,12643.0,u08
u08_2013-04-28,24453.0,u08
u08_2013-04-29,34155.0,u08
u08_2013-04-30,28001.0,u08
u08_2013-05-01,30265.0,u08
u08_2013-05-02,26807.0,u08
u08_2013-05-03,27523.0,u08
u08_2013-05-04,22835.0,u08
u08_2013-05-05,19398.0,u08
u08_2013-05-06,16975.0,u08
u08_2013-05-07,21505.0,u08
u08_2013-05-08,29552.0,u08
u08_2013-05-09,28259.0,u08
u08_2013-05-10,28074.0,u08
u08_2013-05-11,15917.0,u08
u08_2013-05-12,27346.0,u08
u08_2013-05-13,15650.0,u08
u08_2013-05-14,18675.0,u08
u08_2013-05-15,41071.0,u08
u08_2013-05-16,19343.0,u08
u08_2013-05-17,22313.0,u08
u08_2013-05-18,7895.0,u08
u08_2013-05-19,23737.0,u08
u08_2013-05-20,20699.0,u08
u08_2013-05-21,27061.0,u08
u08_2013-05-22,31846.0,u08
u08_2013-05-23,30800.0,u08
u08_2013-05-24,21200.0,u08
u08_2013-05-25,40462.0,u08
u08_2013-05-26,21736.0,u08
u08_2013-05-27,32128.0,u08
u08_2013-05-28,23819.0,u08
u08_2013-05-29,19514.0,u08
u09_2013-03-27,21795.0,u09
u09_2013-03-28,32658.0,u09
u09_2013-03-29,32258.0,u09
u09_2013-03-30,6856.0,u09
u09_2013-03-31,1646.0,u09
u09_2013-04-01,39575.0,u09
u09_2013-04-02,27159.0,u09
u09_2013-04-03,25944.0,u09
u09_2013-04-04,25923.0,u09
u09_2013-04-05,28980.0,u09
u09_2013-04-06,26245.0,u09
u09_2013-04-07,26782.0,u09
u09_2013-04-08,34533.0,u09
u09_2013-04-09,31900.0,u09
u09_2013-04-10,39832.0,u09
u09_2013-04-11,26437.0,u09
u09_2013-04-12,46395.0,u09
u09_2013-04-13,33817.0,u09
u09_2013-04-14,5991.0,u09
u09_2013-04-15,29559.0,u09
u09_2013-04-16,26153.0,u09
u09_2013-04-17,39060.0,u09
u09_2013-04-18,24844.0,u09
u09_2013-04-19,36218.0,u09
u09_2013-04-20,30887.0,u09
u09_2013-04-21,30394.0,u09
u09_2013-04-22,18889.0,u09
u09_2013-04-23,20488.0,u09
u09_2013-04-24,16754.0,u09
u09_2013-04-25,18308.0,u09
u09_2013-04-26,31040.0,u09
u09_2013-04-27,5611.0,u09
u09_2013-04-28,16839.0,u09
u09_2013-04-29,41475.0,u09
u09_2013-04-30,14208.0,u09
u09_2013-05-01,37080.0,u09
u09_2013-05-02,19375.0,u09
u09_2013-05-03,32524.0,u09
u09_2013-05-04,38370.0,u09
u09_2013-05-05,18506.0,u09
u09_2013-05-06,24162.0,u09
u09_2013-05-07,23687.0,u09
u09_2013-05-08,25048.0,u09
u09_2013-05-09,20338.0,u09
u09_2013-05-10,35598.0,u09
u09_2013-05-11,23307.0,u09
u09_2013-05-12,19070.0,u09
u09_2013-05-13,14145.0,u09
u09_2013-05-14,21493.0,u09
u09_2013-05-15,26505.0,u09
u09_2013-05-16,40124.0,u09
u09_2013-05-17,59874.0,u09
u09_2013-05-18,8126.0,u09
u09_2013-05-19,22067.0,u09
u09_2013-05-20,14221.0,u09
u09_2013-05-21,12095.0,u09
u09_2013-05-22,32056.0,u09
u09_2013-05-23,27325.0,u09
u09_2013-05-24,33573.0,u09
u09_2013-05-25,42722.0,u09
u09_2013-05-26,32303.0,u09
u09_2013-05-27,26562.0,u09
u09_2013-05-28,32835.0,u09
u09_2013-05-29,19694.0,u09
u09_2013-05-30,13806.0,u09
u09_2013-05-31,2542.0,u09
u10_2013-03-27,19717.0,u10
u10_2013-03-28,26782.0,u10
u10_2013-03-29,24162.0,u10
u10_2013-03-30,7626.0,u10
u10_2013-03-31,4647.0,u10
u10_2013-04-01,19059.0,u10
u10_2013-04-02,26576.0,u10
u10_2013-04-03,27104.0,u10
u10_2013-04-04,18726.0,u10
u10_2013-04-05,20783.0,u10
u10_2013-04-06,11414.0,u10
u10_2013-04-07,10525.0,u10
u10_2013-04-08,15914.0,u10
u10_2013-04-09,18866.0,u10
u10_2013-04-10,18952.0,u10
u10_2013-04-11,21832.0,u10
u10_2013-04-12,12155.0,u10
u10_2013-04-13,5225.0,u10
u10_2013-04-14,10068.0,u10
u10_2013-04-15,21864.0,u10
u10_2013-04-16,24670.0,u10
u10_2013-04-17,17514.0,u10
u10_2013-04-18,16355.0,u10
u10_2013-04-19,23666.0,u10
u10_2013-04-20,5960.0,u10
u10_2013-04-21,11253.0,u10
u10_2013-04-22,20119.0,u10
u10_2013-04-23,22517.0,u10
u10_2013-04-24,8066.0,u10
u10_2013-04-25,25895.0,u10
u10_2013-04-26,21678.0,u10
u10_2013-04-27,8537.0,u10
u10_2013-04-28,15657.0,u10
u10_2013-04-29,13958.0,u10
u10_2013-04-30,12485.0,u10
u10_2013-05-01,19341.0,u10
u10_2013-05-02,19800.0,u10
u10_2013-05-03,18768.0,u10
u10_2013-05-04,6279.0,u10
u10_2013-05-05,5574.0,u10
u10_2013-05-06,18317.0,u10
u10_2013-05-07,16546.0,u10
u10_2013-05-08,26578.0,u10
u10_2013-05-09,12031.0,u10
u10_2013-05-10,20612.0,u10
u10_2013-05-11,13061.0,u10
u10_2013-05-12,7836.0,u10
u10_2013-05-13,15538.0,u10
u10_2013-05-14,14967.0,u10
u10_2013-05-15,11147.0,u10
u10_2013-05-16,18058.0,u10
u10_2013-05-17,10020.0,u10
u10_2013-05-18,6978.0,u10
u10_2013-05-19,21229.0,u10
u10_2013-05-20,13139.0,u10
u10_2013-05-21,25934.0,u10
u10_2013-05-22,24412.0,u10
u10_2013-05-23,19667.0,u10
u10_2013-05-24,23053.0,u10
u10_2013-05-25,41549.0,u10
u10_2013-05-26,20482.0,u10
u10_2013-05-27,36992.0,u10
u10_2013-05-28,31898.0,u10
u10_2013-05-29,25435.0,u10
u10_2013-05-30,15530.0,u10
u10_2013-05-31,3186.0,u10
u12_2013-03-27,23955.0,u12
u12_2013-03-28,20109.0,u12
u12_2013-03-29,37907.0,u12
u12_2013-03-30,17764.0,u12
u12_2013-03-31,16317.0,u12
u12_2013-04-01,22141.0,u12
u12_2013-04-02,14723.0,u12
u12_2013-04-03,30367.0,u12
u12_2013-04-04,28641.0,u12
u12_2013-04-05,36661.0,u12
u12_2013-04-06,15624.0,u12
u12_2013-04-07,17157.0,u12
u12_2013-04-08,22955.0,u12
u12_2013-04-09,23929.0,u12
u12_2013-04-10,17128.0,u12
u12_2013-04-11,12929.0,u12
u12_2013-04-12,32921.0,u12
u12_2013-04-13,6192.0,u12
u12_2013-04-14,6404.0,u12
u12_2013-04-15,17181.0,u12
u12_2013-04-16,15657.0,u12
u12_2013-04-17,17925.0,u12
u12_2013-04-18,12256.0,u12
u12_2013-04-19,25348.0,u12
u12_2013-04-20,15459.0,u12
u12_2013-04-21,4416.0,u12
u12_2013-04-22,18169.0,u12
u12_2013-04-23,22232.0,u12
u12_2013-04-24,5799.0,u12
u12_2013-04-25,11442.0,u12
u12_2013-04-26,22397.0,u12
u12_2013-04-27,9491.0,u12
u12_2013-04-28,10015.0,u12
u12_2013-04-29,16359.0,u12
u12_2013-04-30,11660.0,u12
u12_2013-05-01,16844.0,u12
u12_2013-05-02,20484.0,u12
u12_2013-05-03,41839.0,u12
u12_2013-05-04,3270.0,u12
u12_2013-05-05,5528.0,u12
u12_2013-05-06,20174.0,u12
u12_2013-05-07,13170.0,u12
u12_2013-05-08,30621.0,u12
u12_2013-05-09,13482.0,u12
u12_2013-05-10,20475.0,u12
u12_2013-05-11,22590.0,u12
u12_2013-05-12,16842.0,u12
u12_2013-05-13,31397.0,u12
u12_2013-05-14,26526.0,u12
u12_2013-05-15,19071.0,u12
u12_2013-05-16,23592.0,u12
u12_2013-05-17,22678.0,u12
u12_2013-05-18,23255.0,u12
u12_2013-05-19,20536.0,u12
u12_2013-05-20,19376.0,u12
u12_2013-05-21,21917.0,u12
u12_2013-05-22,18196.0,u12
u12_2013-05-23,14305.0,u12
u12_2013-05-24,34680.0,u12
u12_2013-05-25,30264.0,u12
u12_2013-05-26,34446.0,u12
u12_2013-05-27,10911.0,u12
u12_2013-05-28,16873.0,u12
u12_2013-05-29,20458.0,u12
u12_2013-05-30,27504.0,u12
u12_2013-05-31,13141.0,u12
u13_2013-03-28,15985.0,u13
u13_2013-03-29,9864.0,u13
u13_2013-03-30,445.0,u13
u13_2013-03-31,11055.0,u13
u13_2013-04-01,14016.0,u13
u13_2013-04-02,14719.0,u13
u13_2013-04-03,19006.0,u13
u13_2013-04-04,14316.0,u13
u13_2013-04-05,8097.0,u13
u13_2013-04-06,9464.0,u13
u13_2013-04-07,1997.0,u13
u13_2013-04-08,8591.0,u13
u13_2013-04-09,19195.0,u13
u13_2013-04-10,20094.0,u13
u13_2013-04-11,21493.0,u13
u13_2013-04-12,10201.0,u13
u13_2013-04-13,13966.0,u13
u13_2013-04-14,12406.0,u13
u13_2013-04-15,12798.0,u13
u13_2013-04-16,16493.0,u13
u13_2013-04-17,20568.0,u13
u13_2013-04-18,8093.0,u13
u13_2013-04-19,11402.0,u13
u13_2013-04-20,10996.0,u13
u13_2013-04-21,21309.0,u13
u13_2013-04-22,19450.0,u13
u13_2013-04-23,11244.0,u13
u13_2013-04-24,13154.0,u13
u13_2013-04-25,17027.0,u13
u13_2013-04-26,8643.0,u13
u13_2013-04-27,30314.0,u13
u13_2013-04-28,9781.0,u13
u13_2013-04-29,21124.0,u13
u13_2013-04-30,18103.0,u13
u13_2013-05-01,3600.0,u13
u13_2013-05-02,1387.0,u13
u13_2013-05-03,4569.0,u13
u13_2013-05-04,6943.0,u13
u13_2013-05-05,7764.0,u13
u13_2013-05-06,0.0,u13
u13_2013-05-07,0.0,u13
u13_2013-05-08,0.0,u13
u13_2013-05-09,15076.0,u13
u13_2013-05-10,16296.0,u13
u13_2013-05-11,13532.0,u13
u13_2013-05-12,16146.0,u13
u13_2013-05-13,15610.0,u13
u13_2013-05-14,22101.0,u13
u13_2013-05-15,19404.0,u13
u13_2013-05-16,29108.0,u13
u13_2013-05-17,9425.0,u13
u13_2013-05-18,3692.0,u13
u13_2013-05-19,9271.0,u13
u13_2013-05-20,20832.0,u13
u13_2013-05-21,19476.0,u13
u13_2013-05-22,18223.0,u13
u13_2013-05-23,15928.0,u13
u13_2013-05-24,5976.0,u13
u13_2013-05-25,10811.0,u13
u13_2013-05-26,6203.0,u13
u13_2013-05-27,12408.0,u13
u13_2013-05-28,20132.0,u13
u13_2013-05-29,2754.0,u13
u14_2013-03-27,30275.0,u14
u14_2013-03-28,34896.0,u14
u14_2013-03-29,39428.0,u14
u14_2013-03-30,28468.0,u14
u14_2013-03-31,22678.0,u14
u14_2013-04-01,25505.0,u14
u14_2013-04-02,34411.0,u14
u14_2013-04-03,45316.0,u14
u14_2013-04-04,35813.0,u14
u14_2013-04-05,33451.0,u14
u14_2013-04-06,26916.0,u14
u14_2013-04-07,29776.0,u14
u14_2013-04-08,18966.0,u14
u14_2013-04-09,37881.0,u14
u14_2013-04-10,44125.0,u14
u14_2013-04-11,32284.0,u14
u14_2013-04-12,12469.0,u14
u14_2013-04-13,23544.0,u14
u14_2013-04-14,17635.0,u14
u14_2013-04-15,29982.0,u14
u14_2013-04-16,24765.0,u14
u14_2013-04-17,19171.0,u14
u14_2013-04-18,29812.0,u14
u14_2013-04-19,34669.0,u14
u14_2013-04-20,24519.0,u14
u14_2013-04-21,31032.0,u14
u14_2013-04-22,39405.0,u14
u14_2013-04-23,25986.0,u14
u14_2013-04-24,34361.0,u14
u14_2013-04-25,14913.0,u14
