user,Behavior_anxious,Behavior_critical,Behavior_days,Behavior_null,Behavior_calm,Behavior_conventional,Behavior_dependable,Behavior_disorganized,Behavior_enthusiastic,Behavior_experiences,Behavior_reserved,Behavior_sympathetic
u16,1.6153846153846154,1.8076923076923077,59 days,0.0,2.1923076923076925,2.3461538461538463,2.0,1.7692307692307692,1.7307692307692308,1.8076923076923077,2.769230769230769,2.076923076923077
u17,2.1176470588235294,1.5294117647058822,45 days,0.0,2.411764705882353,0.8823529411764706,2.1176470588235294,1.8235294117647058,2.588235294117647,2.9411764705882355,2.8823529411764706,2.823529411764706
u18,1.8,1.7,58 days,0.0,0.0,0.0,1.8,0.0,1.9,1.85,1.9,1.9
u19,1.9814814814814814,1.4074074074074074,66 days,0.0,3.2222222222222223,2.9074074074074074,3.6296296296296298,1.3148148148148149,2.4444444444444446,2.8703703703703702,3.2037037037037037,2.6296296296296298
u20,0.625,0.75,13 days,0.0,0.75,0.5,0.5,0.625,0.625,0.5,0.5,0.5
u22,0.9090909090909091,0.9090909090909091,25 days,0.0,0.0,0.0,1.0,1.0,1.2727272727272727,0.7272727272727273,0.9090909090909091,1.0909090909090908
u23,0.55,0.4,16 days,0.0,0.0,0.55,0.5,0.35,0.4,0.55,0.45,0.45
u24,0.7857142857142857,0.7142857142857143,51 days,0.0,0.0,0.0,0.7857142857142857,0.0,0.5,0.7142857142857143,0.6428571428571429,0.7857142857142857
u25,0.5,0.3,22 days,2.3,1.2,1.2,1.0,0.5,0.9,0.8,0.9,0.5
u27,1.4,0.6,21 days,0.0,1.7,1.5,1.7,1.3,1.0,1.2,1.9,1.5
u30,1.0,0.5454545454545454,32 days,0.0,2.090909090909091,1.5454545454545454,1.9090909090909092,0.5454545454545454,1.6363636363636365,1.7272727272727273,1.5454545454545454,1.9090909090909092
u31,0.8,0.8,21 days,1.8,1.4,1.0,1.2,0.8,1.4,1.4,0.8,1.0
u32,1.25,0.875,56 days,0.0,3.75,2.0,3.5,0.875,3.25,3.25,1.625,3.625
u33,1.4782608695652173,1.0,61 days,0.0,3.0434782608695654,1.826086956521739,2.217391304347826,1.7826086956521738,1.9565217391304348,2.391304347826087,2.391304347826087,2.4782608695652173
u35,0.875,0.5,21 days,2.25,0.0,0.0,0.875,0.0,0.875,1.0,0.0,0.0
u36,1.5,1.0833333333333333,47 days,0.0,2.5833333333333335,1.75,3.0,1.6666666666666667,3.3333333333333335,2.8333333333333335,2.0833333333333335,2.8333333333333335
u39,1.3333333333333333,1.2222222222222223,23 days,1.5555555555555556,1.2222222222222223,1.1111111111111112,1.3333333333333333,1.2222222222222223,1.5555555555555556,1.3333333333333333,1.3333333333333333,1.3333333333333333
u41,0.0,0.0,3 days,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u42,0.0,0.0,1 days,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u43,0.6129032258064516,0.4838709677419355,19 days,0.0,1.3225806451612903,1.0,1.2258064516129032,0.7096774193548387,1.032258064516129,1.064516129032258,0.8387096774193549,0.8709677419354839
u44,2.0,1.7708333333333333,51 days,0.0,2.6875,0.0,2.0520833333333335,2.4166666666666665,2.1354166666666665,2.3125,2.84375,0.0
u45,1.5,1.5,17 days,2.5,1.0,0.5,1.0,2.5,0.5,2.0,1.0,1.0
u46,0.3076923076923077,0.3076923076923077,16 days,1.6153846153846154,0.5384615384615384,0.38461538461538464,0.46153846153846156,0.23076923076923078,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.38461538461538464
u47,0.3333333333333333,0.6666666666666666,53 days,0.0,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333,0.0,0.0,0.0
u49,0.9534883720930233,0.8604651162790697,60 days,1.1162790697674418,2.813953488372093,1.2790697674418605,2.6744186046511627,1.0465116279069768,1.7906976744186047,2.5348837209302326,2.0697674418604652,1.627906976744186
u50,1.5,2.5,1 days,0.0,4.0,3.0,3.0,2.0,2.5,2.5,2.0,4.0
u51,1.8,2.0,22 days,1.4,2.6,2.0,3.0,2.0,1.6,3.0,2.2,3.0
u52,1.3636363636363635,0.5454545454545454,17 days,0.0,0.9090909090909091,1.0909090909090908,1.1818181818181819,0.5454545454545454,0.8181818181818182,0.7272727272727273,1.7272727272727273,1.4545454545454546
u53,0.7777777777777778,0.4444444444444444,52 days,0.0,1.4444444444444444,1.0555555555555556,1.4444444444444444,0.5555555555555556,1.0555555555555556,0.8333333333333334,1.2777777777777777,1.2222222222222223
u54,5.0,1.0,1 days,0.0,1.0,5.0,1.0,3.0,1.0,2.0,5.0,3.0
u56,1.0,1.0,9 days,0.0,4.25,3.25,1.75,2.75,1.5,1.75,4.5,2.25
u57,1.1666666666666667,1.25,42 days,0.0,2.4166666666666665,0.0,2.4166666666666665,1.4166666666666667,2.0833333333333335,2.0833333333333335,2.0,1.8333333333333333
u58,2.96,3.16,62 days,0.0,1.88,0.0,3.6,1.4,2.8,3.36,2.76,2.72
u59,1.28,1.4533333333333334,65 days,0.0,2.4266666666666667,1.6933333333333334,2.3466666666666667,1.3466666666666667,1.7466666666666666,1.68,2.4133333333333336,2.28
