user_date,Activity_Social2,Activity_null,Activity_other_relaxing,Activity_other_working,Activity_relaxing,Activity_working,Activity_user,Administration response_angry,Administration response_apathetic,Administration response_appreciative,Administration response_disappointed,Administration response_empathic,Administration response_frustrated,Administration response_proud,Administration response_saddened,Administration response_user,Behavior_anxious,Behavior_critical,Behavior_user,Behavior_null,Behavior_calm,Behavior_conventional,Behavior_dependable,Behavior_disorganized,Behavior_enthusiastic,Behavior_experiences,Behavior_reserved,Behavior_sympathetic,Boston Bombing_boston,Boston Bombing_user,Cancelled Classes_user,Class 2_challenge,Class 2_effort,Class 2_grade,Class 2_user,Class_due,Class_experience,Class_hours,Class_user,Class_null,Comment_user,Dartmouth now_angry,Dartmouth now_apathetic,Dartmouth now_appreciative,Dartmouth now_disappointed,Dartmouth now_empathic,Dartmouth now_frustrated,Dartmouth now_proud,Dartmouth now_saddened,Dartmouth now_user,Dimensions protestors_angry,Dimensions protestors_apathetic,Dimensions protestors_appreciative,Dimensions protestors_disappointed,Dimensions protestors_empathic,Dimensions protestors_frustrated,Dimensions protestors_proud,Dimensions protestors_saddened,Dimensions protestors_user,Dimensions_user,Dining Halls_breakfast,Dining Halls_dinner,Dining Halls_lunch,Dining Halls_user,Events_negative,Events_positive,Events_user,Exercise_exercise,Exercise_walk,Exercise_user,Exercise_have,Exercise_schedule,Green Key 1_user,Green Key 2_user,Green Key 2_excited,Lab_duration,Lab_enjoy,Lab_user,Mood 1_tomorrow,Mood 1_user,Mood 2_how,Mood 2_user,Mood 2_null,Mood_happy,Mood_sad,Mood_user,Mood_happyornot,Mood_sadornot,PAM_picture_idx,PAM_user,QR_Code_user,QR_Code_qr_code,Sleep_hour,Sleep_rate,Sleep_social,Sleep_user,Sleep_null,Social_number,Social_user,Social_null,Stress_level,Stress_user,Stress_null,Study Spaces_null,Study Spaces_productivity,Study Spaces_noise,Study Spaces_user
u00_2013-04-03,1.0,1.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,u00,,,,,,,,,,,,,,,,,,,6.5,u00,u00,,5.0,3.0,2.0,u00,,3.0,u00,,2.5,u00,,,,,
u00_2013-04-04,2.0,1.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,3.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.0,u00,,,,,,,,,,,,,,,,,,,8.857142857142858,u00,u00,,10.0,2.0,2.0,u00,,4.0,u00,,2.333333333333333,u00,,,,,
u00_2013-04-05,2.0,4.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,1.5,2.5,6.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,u00,,,,,,,,,,,,,,,,,,,8.0,u00,u00,,4.0,1.0,1.0,u00,,5.0,u00,,1.3333333333333333,u00,,,,,
u00_2013-04-06,1.0,1.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,u00,,,,,,,,,,,,,,,,,,,10.0,u00,u00,,9.0,2.0,2.0,u00,,,u00,,5.0,u00,,,,,
u00_2013-04-07,2.0,3.0,0.0,0.0,0.0,0.0,u00,,,,,,,,,,0.0,0.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,9.625,u00,u00,,9.0,1.0,1.0,u00,,4.0,u00,,3.0,u00,,,,,
u00_2013-04-08,0.0,0.0,1.5,3.0,1.5,2.0,u00,,,,,,,,,,4.0,2.0,u00,,,,,,,,,,,,,,,,,2.0,3.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,8.857142857142858,u00,u00,,4.5,2.0,1.0,u00,,,u00,,3.0,u00,,,,,
u00_2013-04-09,0.0,0.0,1.0,4.0,1.0,3.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,1.0,3.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,u00,,,,,,,,,,,,,,,,,,,11.142857142857142,u00,u00,,6.0,3.0,1.0,u00,,5.0,u00,,1.0,u00,,,,,
u00_2013-04-10,0.0,0.0,1.0,3.0,1.0,2.0,u00,,,,,,,,,,5.0,1.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,10.0,u00,u00,,5.0,1.0,1.0,u00,,4.0,u00,,,u00,,,,,
u00_2013-04-11,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,3.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,u00,,,,,,,,,,,,,,,,,,,10.2,u00,u00,,8.0,1.0,1.0,u00,,3.0,u00,,,u00,,,,,
u00_2013-04-12,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,6.666666666666667,u00,u00,,3.0,1.0,1.0,u00,,3.0,u00,,2.0,u00,,,,,
u00_2013-04-13,0.0,0.0,4.0,3.0,2.0,2.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,1.0,2.0,6.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,8.0,u00,u00,,14.0,1.0,1.0,u00,,,u00,,,u00,,,,,
u00_2013-04-14,0.0,0.0,5.0,1.0,1.0,1.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,6.75,u00,u00,,9.0,1.0,1.0,u00,,,u00,,3.0,u00,,,,,
u00_2013-04-15,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,1.0,1.0,9.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,u00,,,,,,,,,,,,,,,,,,,11.333333333333334,u00,u00,,3.0,2.5,1.0,u00,,,u00,,3.0,u00,,,,,
u00_2013-04-16,0.0,0.0,1.0,5.0,1.0,1.0,u00,,,,,,,,,,4.0,3.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,u00,,,,,,,,,,,,,,,,,,,8.4,u00,u00,,,,,u00,,,u00,,,u00,,,,,
u00_2013-04-17,0.0,0.0,1.0,3.0,1.0,2.0,u00,,,,,,,,,,4.0,1.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,7.833333333333333,u00,u00,,3.0,4.0,1.0,u00,,4.0,u00,,3.5,u00,,,,,
u00_2013-04-18,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,3.0,5.0,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,u00,3.0,1.0,u00,,,,,,,,,,,,,,,,,,,10.11111111111111,u00,u00,,,,,u00,,3.0,u00,,4.0,u00,,,,,
u00_2013-04-19,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,1.0,3.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,u00,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,4.666666666666667,u00,u00,,,,,u00,,,u00,,,u00,,1.0,3.5,0.0,u00
u00_2013-04-20,,,,,,,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,u00,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,6.0,u00,u00,,8.0,1.0,1.0,u00,,2.0,u00,,,u00,,,,,u00
u00_2013-04-21,0.0,0.0,1.0,1.0,1.0,3.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,u00,,,,,,,u00,3.0,2.0,u00,,,,,,,,,,,,,,,,,,,7.75,u00,u00,,8.0,2.0,1.0,u00,,,u00,,,u00,,1.5,2.5,0.0,u00
u00_2013-04-22,,,,,,,u00,,,,,,,,,,3.0,3.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,,,,,,,,,,u00,,,,,3.0,6.0,u00,,,u00,,,,,,,,,,,,,,,,,,,10.166666666666666,u00,u00,,3.0,4.0,1.0,u00,,3.0,u00,,,u00,,4.0,1.0,0.0,u00
u00_2013-04-23,0.0,0.0,1.0,1.0,4.0,3.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,2.0,4.0,7.0,u00,,u00,,,,,,,,,,,,,,,,,,,u00,,,,,,,u00,2.0,1.0,u00,,,,,,,,,,,,,,,,,,,9.857142857142858,u00,u00,,6.0,3.0,1.0,u00,,,u00,,1.0,u00,,1.0,1.0,0.0,u00
u00_2013-04-24,0.0,0.0,2.0,4.0,3.0,2.0,u00,,,,,,,,,,5.0,5.0,u00,,,,,,,,,,,,,,,,,,,,u00,,u00,,,,,,,,,,3.5,2.0,1.5,4.0,2.0,2.0,1.5,4.5,u00,,,,,,6.666666666666667,2.0,u00,,,u00,,,,,,8.0,2.0,u00,,,,,,,,,,,8.666666666666666,u00,u00,,9.0,1.0,1.0,u00,,,u00,,,u00,,,,,u00
u00_2013-04-25,0.0,0.0,1.0,3.0,1.0,2.0,u00,,,,,,,,,,,,u00,,,,,,,,,,,,,1.0,1.0,4.0,u00,,,,u00,,u00,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,u00,,,u00,,,,,,,,u00,2.0,u00,,,,1.0,3.0,u00,,,11.428571428571429,u00,u00,,5.0,3.0,1.0,u00,,,u00,,1.0,u00,,,,,u00
u00_2013-04-26,,,,,,,u00,,,,,,,,,,5.0,2.0,u00,,,,,,,,,,,,,,,,u00,2.0,3.0,11.0,u00,,u00,,,,,,,,,,,,,,,,,,,,4.0,7.0,4.0,u00,4.0,4.0,u00,,,u00,,,,,,,,u00,,u00,,,,,,u00,,,11.5,u00,u00,,,,,u00,,,u00,,1.0,u00,,,,,u00
u00_2013-04-27,0.0,0.0,1.0,5.0,3.0,2.0,u00,4.0,1.0,3.0,3.0,2.0,5.0,3.0,4.0,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,5.0,1.0,3.0,3.0,4.0,1.0,5.0,3.0,u00,,,,,,,,,,,,,,u00,4.0,4.0,u00,3.0,1.0,u00,,,,,,,,u00,,u00,,,,,,u00,,,7.75,u00,u00,,,,,u00,,,u00,,,u00,,,,,u00
u00_2013-04-28,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,,,,,,,,u00,,u00,,,,,,u00,,,7.2,u00,u00,,,,,u00,,,u00,,1.5,u00,,0.0,2.0,3.0,u00
u00_2013-04-29,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,,,,,,8.0,4.0,u00,,u00,,,,,,u00,,,10.0,u00,u00,,,,,u00,,,u00,,3.0,u00,,0.0,3.0,1.0,u00
u00_2013-04-30,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,7.0,3.0,u00,,,u00,,,,,,,,u00,3.0,u00,,,,,,u00,,,13.0,u00,u00,,,,,u00,,,u00,,,u00,,,,,u00
u00_2013-05-01,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,,,,,,,,u00,,u00,,,,,,u00,,,9.25,u00,u00,,3.0,4.0,1.0,u00,,,u00,,,u00,,,,,u00
u00_2013-05-02,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,,,,,,,,u00,,u00,,,,,,u00,,,,u00,u00,,,,,u00,,,u00,,,u00,,,,,u00
u00_2013-05-03,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,,,,,,6.0,3.0,u00,1.0,u00,,,,,,u00,,,9.75,u00,u00,,,,,u00,,,u00,,,u00,,0.0,2.0,3.0,u00
u00_2013-05-04,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,u00,6.0,3.0,u00,1.0,5.0,u00,,,,,,,,u00,,u00,,,,,,u00,,,15.0,u00,u00,,,,,u00,,,u00,,,u00,,,,,u00
u00_2013-05-05,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,,,u00,,u00,1.0,u00,,,,u00,,,6.833333333333333,u00,u00,,10.0,1.0,1.0,u00,,3.0,u00,,,u00,,0.0,1.0,3.0,u00
u00_2013-05-06,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,3.0,4.0,5.0,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,,,u00,,u00,,u00,,,,u00,,,11.5,u00,u00,,9.0,1.0,1.0,u00,,4.0,u00,,1.0,u00,,,,,u00
u00_2013-05-07,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,1.0,1.5,u00,,,,,,,,u00,,u00,,u00,,,,u00,,,,u00,u00,,,,,u00,,,u00,,,u00,,,,,u00
u00_2013-05-08,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,,,u00,,u00,,u00,,,,u00,,,6.625,u00,u00,,6.0,1.0,1.0,u00,,,u00,,3.333333333333333,u00,,,,,u00
u00_2013-05-09,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,6.0,3.0,u00,,u00,,u00,,,,u00,,,7.636363636363637,u00,u00,,10.0,2.0,1.0,u00,,4.0,u00,,,u00,,0.0,3.0,4.0,u00
u00_2013-05-10,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,5.0,3.0,u00,,u00,3.0,u00,,,,u00,,,9.0,u00,u00,,11.0,1.0,1.0,u00,,,u00,,,u00,,,,,u00
u00_2013-05-11,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,,,u00,,u00,1.0,u00,,,,u00,,,8.0,u00,u00,,,,,u00,,4.0,u00,,,u00,,,,,u00
u00_2013-05-12,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,11.0,5.0,u00,,u00,1.0,u00,,,,u00,,,8.75,u00,u00,,,,,u00,,2.0,u00,,,u00,,0.0,3.0,2.0,u00
u00_2013-05-13,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,6.0,2.0,u00,,u00,1.0,u00,,,,u00,,,6.6,u00,u00,,15.0,1.0,1.0,u00,,3.0,u00,,,u00,,0.0,1.0,1.0,u00
u00_2013-05-14,0.0,0.0,1.0,2.0,1.0,2.0,u00,,,,,,,,,u00,3.0,3.0,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,1.0,1.0,u00,,u00,,u00,,,,u00,,,6.75,u00,u00,,,,,u00,,4.0,u00,,4.0,u00,,,,,
u00_2013-05-15,0.0,0.0,1.0,3.0,1.0,3.0,u00,,,,,,,,,u00,3.0,3.0,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,1.0,1.0,u00,,,,,,,,u00,,u00,,u00,,3.0,1.0,u00,,,7.0,u00,u00,,,,,u00,,,u00,,2.5,u00,,,,,
u00_2013-05-16,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,4.0,1.0,u00,,,,,,,,u00,,u00,,u00,,2.0,1.0,u00,,,8.0,u00,u00,,10.0,1.0,1.0,u00,,,u00,,4.0,u00,,,,,
u00_2013-05-17,,,,,,,u00,,,,,,,,,u00,4.0,2.0,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,1.0,1.0,u00,,,,,,,,u00,,u00,,u00,,2.0,1.0,u00,,,7.8,u00,u00,,9.0,2.0,1.0,u00,,,u00,,4.0,u00,,,,,
u00_2013-05-18,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,u00,1.0,1.0,u00,,,,,,8.0,2.0,u00,,u00,,u00,,,,u00,,,9.0,u00,,,,,,u00,,,u00,,,u00,,,,,
u00_2013-05-19,,,,,,,u00,,,,,,,,,u00,3.0,3.0,u00,,,,,,,,,,,,,1.0,1.0,1.0,u00,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,u00,,,,u00,,u00,2.0,u00,,,,u00,,,8.125,u00,,,,,,u00,,,u00,,1.0,u00,,,,,
u00_2013-05-20,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,u00,,,,u00,,u00,,u00,,1.0,1.0,u00,,,15.0,u00,,,,,,u00,,,u00,,,u00,,,,,
u00_2013-05-21,,,,,,,u00,,,,,,,,,u00,4.0,5.0,u00,,,,,,,,,,,,,,,,,,,,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,u00,u00,,,,u00,,u00,,u00,,1.0,1.0,u00,,,11.0,u00,,,,,,u00,,1.0,u00,,1.5,u00,,,,,
u00_2013-05-22,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,u00,,,u00,,,u00,u00,,,,u00,,u00,1.0,u00,,1.0,1.0,u00,,,7.833333333333333,u00,,,,,,u00,,,u00,,1.0,u00,,,,,
u00_2013-05-23,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,1.0,4.0,u00,,u00,,u00,,,,u00,,,7.8,u00,,,9.0,2.0,1.0,u00,,,u00,,1.0,u00,,,,,
u00_2013-05-24,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.0,u00,4.0,1.0,u00,,,,,,,,,,u00,,u00,,,,u00,,,4.571428571428571,u00,,,9.0,2.0,2.0,u00,,2.0,u00,,1.3333333333333333,u00,,,,,
u00_2013-05-25,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,u00,,,u00,,,,,,,,,,u00,1.0,u00,,,,u00,,,9.0,u00,,,7.0,3.0,1.0,u00,,,u00,,2.5,u00,,,,,
u00_2013-05-26,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,,,u00,,,,,,,,,1.0,u00,,u00,,,,u00,,,8.333333333333334,u00,,,12.0,2.0,1.0,u00,,2.0,u00,,,u00,,,,,
u00_2013-05-27,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,1.0,1.0,u00,,,,,,,,,1.0,u00,1.0,u00,,,,u00,,,7.0,u00,,,,,,u00,,2.0,u00,,,u00,,,,,
u00_2013-05-28,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,u00,3.0,1.0,u00,,,,,,,,,1.0,u00,,u00,,,,u00,,,6.2,u00,,,9.0,3.0,3.0,u00,,2.0,u00,,,u00,,,,,
u00_2013-05-29,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u00,3.0,1.0,u00,,,,,,,,,1.0,u00,,u00,,,,u00,,,7.0,u00,,,1.0,1.0,1.0,u00,,2.0,u00,,,u00,,,,,
u00_2013-05-30,,,,,,,u00,,,,,,,,,u00,,,u00,,,,,,,,,,2.0,u00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,u00,1.0,1.0,u00,,,,,,,,,1.0,u00,1.0,u00,,,,u00,,,7.0,u00,,,,,,u00,,3.0,u00,,,u00,,,,,
